band_pos	base_score	move_score	stay_score	action	tb_value
# base=0 from=0 to=84 band_start=0 band_end=84
# start
0	26.4492435455322266	26.4492435455322266	NA	move	0
# overlap
1	26.6025924682617188	inf	53.0518341064453125	stay	1
2	26.4645633697509766	inf	79.5163955688476562	stay	2
3	26.6486873626708984	inf	106.1650848388671875	stay	3
4	24.9847679138183594	inf	131.1498565673828125	stay	4
5	25.1338176727294922	inf	156.2836761474609375	stay	5
6	25.1487464904785156	inf	181.4324188232421875	stay	6
7	25.2533760070800781	inf	206.6857910156250000	stay	7
8	25.2982826232910156	inf	231.9840698242187500	stay	8
9	25.1636791229248047	inf	257.1477355957031250	stay	9
10	25.1338176727294922	inf	282.2815551757812500	stay	10
11	25.0890579223632812	inf	307.3706054687500000	stay	11
12	25.0145416259765625	inf	332.3851318359375000	stay	12
13	25.0741405487060547	inf	357.4592590332031250	stay	13
14	24.7916679382324219	inf	382.2509155273437500	stay	14
15	25.1039733886718750	inf	407.3548889160156250	stay	15
16	24.9698867797851562	inf	432.3247680664062500	stay	16
17	24.7620258331298828	inf	457.0867919921875000	stay	17
18	25.2085056304931641	inf	482.2952880859375000	stay	18
19	25.1636791229248047	inf	507.4589538574218750	stay	19
20	25.2085056304931641	inf	532.6674804687500000	stay	20
21	24.9550113677978516	inf	557.6224975585937500	stay	21
22	25.1487464904785156	inf	582.7712402343750000	stay	22
23	25.0890579223632812	inf	607.8602905273437500	stay	23
24	24.9550113677978516	inf	632.8153076171875000	stay	24
25	25.1636791229248047	inf	657.9790039062500000	stay	25
26	25.1338176727294922	inf	683.1127929687500000	stay	26
27	25.4032192230224609	inf	708.5159912109375000	stay	27
28	25.5083770751953125	inf	734.0243530273437500	stay	28
29	25.7193412780761719	inf	759.7437133789062500	stay	29
30	25.3882160186767578	inf	785.1319580078125000	stay	30
31	25.4032192230224609	inf	810.5351562500000000	stay	31
32	25.4182281494140625	inf	835.9533691406250000	stay	32
33	25.5836200714111328	inf	861.5369873046875000	stay	33
34	25.7797794342041016	inf	887.3167724609375000	stay	34
35	26.1134357452392578	inf	913.4302368164062500	stay	35
36	26.8488750457763672	inf	940.2791137695312500	stay	36
37	28.5091400146484375	inf	968.7882690429687500	stay	37
38	28.2870063781738281	inf	997.0752563476562500	stay	38
39	28.9079685211181641	inf	1025.9832763671875000	stay	39
40	28.9399948120117188	inf	1054.9232177734375000	stay	40
41	28.7960147857666016	inf	1083.7192382812500000	stay	41
42	28.8759613037109375	inf	1112.5952148437500000	stay	42
43	28.6524009704589844	inf	1141.2475585937500000	stay	43
44	28.7960147857666016	inf	1170.0435791015625000	stay	44
45	28.5727634429931641	inf	1198.6163330078125000	stay	45
46	28.8759613037109375	inf	1227.4923095703125000	stay	46
47	28.6683406829833984	inf	1256.1606445312500000	stay	47
48	28.9720363616943359	inf	1285.1326904296875000	stay	48
49	28.5409431457519531	inf	1313.6735839843750000	stay	49
50	28.8279838562011719	inf	1342.5015869140625000	stay	50
51	28.5727634429931641	inf	1371.0743408203125000	stay	51
52	28.7640705108642578	inf	1399.8383789062500000	stay	52
53	28.4932441711425781	inf	1428.3316650390625000	stay	53
54	28.7960147857666016	inf	1457.1276855468750000	stay	54
55	28.7640705108642578	inf	1485.8917236328125000	stay	55
56	28.2870063781738281	inf	1514.1787109375000000	stay	56
57	28.3820972442626953	inf	1542.5607910156250000	stay	57
58	24.3930015563964844	inf	1566.9537353515625000	stay	58
59	23.4609355926513672	inf	1590.4146728515625000	stay	59
60	23.5042190551757812	inf	1613.9189453125000000	stay	60
61	23.5764522552490234	inf	1637.4953613281250000	stay	61
62	24.0413475036621094	inf	1661.5367431640625000	stay	62
63	25.2982826232910156	inf	1686.8350830078125000	stay	63
64	25.1636791229248047	inf	1711.9987792968750000	stay	64
65	25.5836200714111328	inf	1737.5823974609375000	stay	65
66	25.1487464904785156	inf	1762.7312011718750000	stay	66
67	25.0592346191406250	inf	1787.7904052734375000	stay	67
68	25.0741405487060547	inf	1812.8645019531250000	stay	68
69	25.0890579223632812	inf	1837.9536132812500000	stay	69
70	24.9550113677978516	inf	1862.9085693359375000	stay	70
71	24.9996528625488281	inf	1887.9082031250000000	stay	71
72	25.1188926696777344	inf	1913.0270996093750000	stay	72
73	25.5685634613037109	inf	1938.5957031250000000	stay	73
74	25.1636791229248047	inf	1963.7593994140625000	stay	74
75	25.3282432556152344	inf	1989.0876464843750000	stay	75
76	25.3582191467285156	inf	2014.4459228515625000	stay	76
77	25.7495498657226562	inf	2040.1954345703125000	stay	77
78	25.0890579223632812	inf	2065.2844238281250000	stay	78
79	24.0997829437255859	inf	2089.3842773437500000	stay	79
80	24.3930015563964844	inf	2113.7773437500000000	stay	80
81	24.3048515319824219	inf	2138.0822753906250000	stay	81
82	24.2315139770507812	inf	2162.3137207031250000	stay	82
83	24.1290245056152344	inf	2186.4426269531250000	stay	83
# rest
# base=1 from=84 to=173 band_start=1 band_end=90
# start
0	26.6025924682617188	53.0518341064453125	NA	move	0
# overlap
1	26.4645633697509766	79.5163955688476562	79.5163955688476562	stay	1
2	26.6486873626708984	106.1650848388671875	106.1650848388671875	stay	2
3	24.9847679138183594	131.1498565673828125	131.1498565673828125	stay	3
4	25.1338176727294922	156.2836761474609375	156.2836761474609375	stay	4
5	25.1487464904785156	181.4324188232421875	181.4324188232421875	stay	5
6	25.2533760070800781	206.6857910156250000	206.6857910156250000	stay	6
7	25.2982826232910156	231.9840698242187500	231.9840698242187500	stay	7
8	25.1636791229248047	257.1477355957031250	257.1477355957031250	stay	8
9	25.1338176727294922	282.2815551757812500	282.2815551757812500	stay	9
10	25.0890579223632812	307.3706054687500000	307.3706054687500000	stay	10
11	25.0145416259765625	332.3851318359375000	332.3851318359375000	stay	11
12	25.0741405487060547	357.4592590332031250	357.4592590332031250	stay	12
13	24.7916679382324219	382.2509155273437500	382.2509155273437500	stay	13
14	25.1039733886718750	407.3548889160156250	407.3548889160156250	stay	14
15	24.9698867797851562	432.3247680664062500	432.3247680664062500	stay	15
16	24.7620258331298828	457.0867919921875000	457.0867919921875000	stay	16
17	25.2085056304931641	482.2952880859375000	482.2952880859375000	stay	17
18	25.1636791229248047	507.4589538574218750	507.4589538574218750	stay	18
19	25.2085056304931641	532.6674804687500000	532.6674804687500000	stay	19
20	24.9550113677978516	557.6224975585937500	557.6224975585937500	stay	20
21	25.1487464904785156	582.7712402343750000	582.7712402343750000	stay	21
22	25.0890579223632812	607.8602905273437500	607.8602905273437500	stay	22
23	24.9550113677978516	632.8153076171875000	632.8153076171875000	stay	23
